review_text,aspect_triplets,new_triplets,reasoning
( 4 tarafı cam olduğu için yeterince ısıtamıyorlar.,"[('', 'AMBIENCE#GENERAL', 'negative')]","[['', 'AMBIENCE#GENERAL', 'negative']]","Cam duvarlar nedeniyle ısınamaması, ambiyansı olumsuz etkiliyor."
"(( Üstelik fiyatlarda, yemeklerine nazaran uygun degil.","[('fiyatlarda', 'FOOD#PRICES', 'negative'), ('yemeklerine', 'FOOD#QUALITY', 'negative')]","[['fiyatlarda', 'FOOD#PRICES', 'negative']]","Fiyatlar yemeklere göre uygun değil, bu nedenle fiyatlar için olumsuz duygu, yemek kalitesi için duygu yok."
"((( Mekanin kalabalik olmasindan mi kaynakliydi bu dikkatsizlik anlam veremedim, bu kadar övgü almasina ragmen böyle olumsuz bir durum ilginç geldi.","[('durum', 'RESTAURANT#GENERAL', 'negative')]",[],JSON_ERROR: Expecting value: line 1 column 1 (char 0)
((( hayal kirikligi - Uzunlar'a ilk gittigimdeki tadi ikinci gidisimde bulamadim...,"[('tadi', 'FOOD#QUALITY', 'negative')]","[['tadi', 'FOOD#QUALITY', 'negative']]",Taste changed negatively between visits; only food quality mentioned.
) Bu arada hizli servis için tesekkür ediyoruz.,"[('servis', 'SERVICE#GENERAL', 'positive')]","[['servis', 'SERVICE#GENERAL', 'positive']]","Review thanks for fast service, only SERVICE aspect mentioned."
) Hamburgeri hoşuma gidiyor ve NY steak de tavsiye edebilirim.,"[('NY steak', 'FOOD#QUALITY', 'positive'), ('Hamburgeri', 'FOOD#QUALITY', 'positive')]","[['Hamburgeri', 'FOOD#QUALITY', 'positive'], ['NY steak', 'FOOD#QUALITY', 'positive']]","Her iki yemek için de olumlu ifadeler: hamburger beğenilmiş, NY steak tavsiye edilmiş."
) Her seyden ufak ufak tattik.,"[('Her seyden', 'FOOD#QUALITY', 'neutral')]","[['Her seyden', 'FOOD#QUALITY', 'neutral']]","No explicit sentiment, only stating tasting all items."
) ben karamel aramalı çayı çok sevdim adını hatırlamasamda siz içinde karamel var dediğinizde tek gelicek o olucaktır:,"[('karamel aramalı çayı', 'DRINKS#QUALITY', 'positive')]","[['karamel aramalı çayı', 'DRINKS#QUALITY', 'positive']]","Review açıkça karamel aramalı çayını sevdiğini belirtiyor, pozitif duygu."
) biz burayi cok sevdik cok romantik cok tatli.,"[('', 'AMBIENCE#GENERAL', 'positive'), ('burayi', 'RESTAURANT#GENERAL', 'positive')]","[['', 'AMBIENCE#GENERAL', 'positive'], ['burayi', 'RESTAURANT#GENERAL', 'positive']]",Review expresses positive sentiment for place and romantic ambience.
) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.,"[('çay', 'DRINKS#PRICES', 'negative'), ('', 'RESTAURANT#GENERAL', 'positive')]","[['çay', 'DRINKS#PRICES', 'negative']]",Only negative sentiment about tea price; no evidence for positive general sentiment.
) yemekler güzel fiyatlar da mekana göre gayet uygun.,"[('fiyatlar', 'RESTAURANT#PRICES', 'positive'), ('yemekler', 'FOOD#QUALITY', 'positive')]","[['yemekler', 'FOOD#QUALITY', 'positive'], ['fiyatlar', 'RESTAURANT#PRICES', 'positive']]","Yemekler güzel, fiyatlar mekana göre uygun. Mevcut etiketler doğru ve tam."
)) 60'a yakın çeşitte çaydan birini mutlaka seviceksiniz:,"[('çaydan', 'DRINKS#STYLE_OPTIONS', 'positive')]","[['çay', 'DRINKS#STYLE_OPTIONS', 'positive']]","Metin 60 çay çeşidini övüyor, olumlu."
)) mekan inanılmaz keyifli içerdeki koltuklardan kalkmak istemiyor insan:,"[('mekan', 'AMBIENCE#GENERAL', 'positive')]","[['mekan', 'AMBIENCE#GENERAL', 'positive'], ['koltuklar', 'AMBIENCE#GENERAL', 'positive']]",Mekan ve koltuklar için olumlu ifadeler var.
- Ambiansi hos.,"[('Ambiansi', 'AMBIENCE#GENERAL', 'positive')]","[['Ambiansi', 'AMBIENCE#GENERAL', 'positive']]","Metin sadece ambiyansın hoş olduğunu belirtiyor, mevcut etiket doğru."
"- Anadolu Hisari'nin hemen yanindaki Sabanci Ögretmenevi, herkesin kullanimina açik olan bir tesis.","[('tesis', 'RESTAURANT#GENERAL', 'neutral')]","[['tesis', 'RESTAURANT#GENERAL', 'neutral']]","Review only describes facility location and openness, no sentiment."
- Anadolu hisarinda bir tarafi Göksu Deresi diger tarafi Istanbul Bogazinin akip giden masmavi sulari ama hepsi bu kadar.,"[('Anadolu hisarinda', 'LOCATION#GENERAL', 'positive'), ('', 'RESTAURANT#GENERAL', 'negative')]",[],JSON_ERROR: Expecting value: line 1 column 1 (char 0)
- Burasi haftada bir ugramaya çalistigim ve manzarasina bayildigim bir mekan.,"[('manzarasina', 'AMBIENCE#GENERAL', 'positive')]","[['manzarasina', 'AMBIENCE#GENERAL', 'positive']]","Manzara beğenisi açıkça belirtilmiş, diğer yönler yok."
"- O manzaraya bu yemekler, bu servis olmamis :","[('manzaraya', 'AMBIENCE#GENERAL', 'positive'), ('yemekler', 'FOOD#QUALITY', 'negative'), ('servis', 'SERVICE#GENERAL', 'negative')]","[['manzaraya', 'AMBIENCE#GENERAL', 'positive'], ['yemekler', 'FOOD#QUALITY', 'negative'], ['servis', 'SERVICE#GENERAL', 'negative']]",View implied positive; food and service negative per 'olmamis'.
- Tuzla sahilinde kafede oturup bir seyler içmek için ideal bir yer.,"[('yer', 'LOCATION#GENERAL', 'positive')]","[['yer', 'RESTAURANT#GENERAL', 'positive']]","Yer restoran genelini ifade eder, olumlu. İçeceklerden spesifik bahsedilmemiş."
1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.,"[('fiyatlarinin', 'RESTAURANT#PRICES', 'negative'), ('yemeklerinin', 'FOOD#QUALITY', 'negative')]","[['fiyatlarinin', 'RESTAURANT#PRICES', 'negative'], ['yemeklerinin', 'FOOD#QUALITY', 'negative']]","Mevcut etiketler doğru: fiyat yüksek, yemek lezzetsiz. Eklenmesi gereken başka aspect yok."
2 sene önce hızlı bir kahvaltı yapmak için geldiğimiz mekana dair hatırımda kalan 6 tl lik çayı oldu:,"[('çayı', 'DRINKS#PRICES', 'negative')]","[['çayı', 'DRINKS#PRICES', 'negative']]","Review only mentions 6 TL tea as memorable, implying overpriced for a quick breakfast."
"3 arkadaş yaz başı gittik,döner kısma oturduk 7-8 dakika sipariş almaya gelen olmadı.","[('sipariş', 'SERVICE#GENERAL', 'negative')]","[['sipariş', 'SERVICE#GENERAL', 'negative']]",Müşterilerin sipariş alınmadan beklemesi servis kalitesizliğini gösterir.
"3 aydir haftasonlari ugrak noktamizdi, Kahvehane gibi maç ücreti 10 tl diye yazdilar yaa o gun bizim gozumuzde bitti.","[('maç ücreti', 'RESTAURANT#PRICES', 'negative')]","[['maç ücreti', 'RESTAURANT#PRICES', 'negative']]","Tek olumsuz unsur: maç ücreti 10 TL yazılması, fiyat kategorisinde negatif."
3 gidip 2 kisilik getirin derseniz yiyecekler bu sekilde geliyor ama kisi basina 70tl yaziyorlar cok sacma olmus,"[('yiyecekler', 'FOOD#PRICES', 'negative')]","[['yiyecekler', 'FOOD#PRICES', 'negative']]","Yiyeceklerin kişi başı 70 TL olması negatif, fiyat eleştirisi."
3 kisi 2 kisi icin getirdiklerini rahatlikla yiyebilir.,"[('', 'FOOD#STYLE_OPTIONS', 'neutral')]","[['', 'FOOD#QUALITY', 'positive']]","Portions for 2 are enough for 3, implying generous size. Sentiment positive."
30 tl aldığınız hamburger için düz beyaz tabağa koymaktan öteye gidebilirsiniz bence?,"[('tabağa', 'FOOD#STYLE_OPTIONS', 'negative')]","[['hamburger', 'FOOD#STYLE_OPTIONS', 'negative']]",Hamburgerin sunumu sade tabak nedeniyle olumsuz.
342 TL çok fazla.,"[('342 TL', 'RESTAURANT#PRICES', 'negative')]","[['342 TL', 'RESTAURANT#PRICES', 'negative']]",Tek cümlelik olumsuz fiyat değerlendirmesi.
"4 sicak iceceklerde servis agir, kahvalti icin tercih edilwbilir olsa da lezzete gore fiyat yuksek kaliyor.","[('kahvalti', 'FOOD#QUALITY', 'positive'), ('fiyat', 'FOOD#PRICES', 'negative'), ('servis', 'SERVICE#GENERAL', 'negative')]",[],JSON_ERROR: Expecting value: line 1 column 1 (char 0)
40 tl kisi basi.,"[('kisi basi', 'RESTAURANT#PRICES', 'neutral')]","[['kisi basi', 'RESTAURANT#PRICES', 'neutral']]","Review only states price per person factually, no sentiment. Existing triplet is correct."
5 çayının ideal adresi karaköy'de dem.,"[('dem', 'RESTAURANT#GENERAL', 'positive')]","[['dem', 'RESTAURANT#GENERAL', 'positive']]","Review praises Dem as ideal for tea, indicating positive restaurant general sentiment."
